Card,ID,Display Name,Plot ID,Zone,Easting,Northing,Accuracy (m),Elevation (m),Crew leader name,Date ,Slope,Aspect,Photo?,Notes
2662,561827948583,Site,2662,,124.057878,52.549134,5.0,1340,Otis Guichon,"Sep 27, 2023",9,S,Yes,
1645,605188557184,Site,1645,,476494,5795613,10.0,,Darclyn Charleyboy,"Nov 7, 2023",8,S,No,
1665,996877265718,Site,1665,,481255,5797917,10.0,,Darclyn Charleyboy,"Nov 6, 2023",16,NW,Yes,
1617,407518353483,Site,1617,,470331,5794531,10.0,,Darclyn,"Oct 10, 2023",36,S,Yes,"Nothing  over 4 cm 
1 tree near plot not within plot"
1529,379538439907,Site,1529,,52.24411,124.05691,0.5,1115,David Landon,"Sep 11, 2023",2,All,Yes,
1538,972559720405,Site,1538,,470873,5786906,10.0,,Darclyn Charleyboy,"Sep 22, 2023",14,SE,No,All sample trees less than 4 cm
1501,165352078140,Site,1501,,52.22,122.99,5.0,1060,Dave Landon,"Sep 6, 2023",8,SE,Yes,
1672,574687775326,Site,1672,,463682,5798682,10.0,,Darclyn Charleyboy,"Nov 7, 2023",0,,Yes,"Nothing over 4 cm DBH 
No sample tree"
1643,370979973632,Site,1643,,475840,5796894,10.0,,Darclyn Charleyboy,"Nov 8, 2023",0,,Yes,
2646,836119706106,Site,2646,,124.058288,52.540187,5.0,1300,Otis Guichon,"Sep 27, 2023",8,S,Yes,"Plot lands in green stand , no burns"
1505,567733157981,Site,1505,,123.925767,52.223870,5.0,990,Otis Guichon,"Sep 11, 2023",8,E,Yes,No over story green healthy trees
2034,207446058829,Site,2034,,52.44586,124.34254,5.0,1231,David Landon,"Sep 14, 2023",5,N,Yes,
1648,883716509311,Site,1648,,482305,5796407,10.0,,Darclyn,"Oct 23, 2023",27,S,Yes,"Nothing over 4 cm DBH 
No sample trees"
2664,871750143634,Site,2664,,124.028338,52.548636,5.0,1300,Skip Gregg,"Sep 26, 2023",4,SW,Yes,"1/4 plot done due to high volume regen , and over story"
1816,329976720989,Site,1816,,124.094173,52.397232,5.0,1220,Skip Gregg,"Oct 10, 2023",5,S,Yes,"Plot lands in top of bed rock hill , no trees in plot"
2108,904604082687,Site,2108,,124.180223,52.452450,5.0,1310,Otis Guichon,"Sep 20, 2023",23,SW,Yes,
1578,461001654769,Site,1578,,474139,5790807,10.0,,Darclyn Charleyboy,"Sep 25, 2023",6,S,Yes,
1602,713252977087,Site,1602,,467165,5794054,10.0,,Shane,,5,W,Yes,"Nothing over 4 cm 
No sample tree"
1679,349157078240,Site,1679,,481387,5798433,10.0,,Darclyn Charleyboy,,15,NW,Yes,
1587,303239088206,Site,1587,,480092,5791506,10.0,,Shane Hink,"Oct 18, 2023",0,,Yes,"Road side plot, not complete 360"
2035,594023446310,Site,2035,,52.44571,124.32803,5.0,1214,David Landon,"Sep 14, 2023",16,NW,Yes,
2644,424703913623,Site,2644,,124.087820,52.540664,5.0,1200,Otis Guichon,"Sep 27, 2023",12,SE,Yes,
1507,800378965678,Site,1507,,469788,5784958,10.0,,,,,,No,
1598,526784938505,Site,1598,,481135,5792469,10.0,,Darclyn Charleyboy,"Oct 19, 2023",0,,Yes,"Plantation with natural region 
No sample tree"
1560,833643141877,Site,1560,,475898,5788728,10.0,,Darclyn Charleyboy,"Oct 29, 2023",0,N,Yes,
1573,202276040564,Site,1573,,481131,5789573,10.0,,Shane Hink,"Oct 18, 2023",6,S,Yes,Natural region
1702,380033097524,Site,1702,,482429,5799396,10.0,,Darclyn Charleyboy,"Nov 9, 2023",-18,SE,Yes,No sample tree
1592,904876828818,Site,1592,,471161,5792907,10.0,,Darclyn Charleyboy,"Oct 5, 2023",0,,Yes,
1674,376190156284,Site,1674,,466675,5798955,10.0,,Darclyn Charleyboy,"Nov 7, 2023",6,W,Yes,
1942,690548197402,Site,1942,,52.42622,124.22552,5.0,1066,David Landon,"Sep 15, 2023",,,Yes,Unburnt. Plot lands in meadow.
1564,420852741216,Site,1564,,123.967655,52.269488,5.0,1060,Otis Guichon,"Sep 12, 2023",0,N,Yes,
1518,922557240238,Site,1518,,123.939933,52.233122,5.0,1010,Otis Guichon,"Sep 11, 2023",6,W,Yes,
1590,394190683742,Site,1590,,466978,5793314,10.0,,Darclyn Charleyboy,"Oct 12, 2023",0,,Yes,"Nothing over 4 cm DBH
No sample tree"
2158,403085819963,Site,2158,,124.194587,52.461638,5.0,1140,Otis Guichon,"Sep 20, 2023",10,SE,Yes,
2043,493561283701,Site,2043,,124.195328,52.443698,5.0,1160,Otis Guichon,"Sep 21, 2023",8,S,Yes,"Plot is in full green immature pine stand , no burn marks"
2113,531417461382,Site,2113,,52.45131,124.10646,5.0,1079,David Landon,"Sep 20, 2023",3,NW,Yes,
1623,580258420045,Site,1623,,483141,5794397,,,Darclyn Charleyboy,"Oct 19, 2023",,,No,Unburnt plot / area
1607,718744038847,Site,1607,,479174,5793545,10.0,,Darclyn Charleyboy,"Oct 17, 2023",6,S,Yes,No sample tree
1608,185755977442,Site,1608,,480866,5794033,10.0,,Darclyn Charleyboy,"Oct 17, 2023",3,W,Yes,"No sample trees
No old plantation"
1192 - Dave Landon,883701995352,Site,1192,,124.17.982,52.2.492,5.0,1010,Dave Landon,"Nov 1, 2023",1,SE,Yes,No trees in the other quadrants
2647,540202604994,Site,2647,,124.028759,52.539679,5.0,1270,Skip Gregg,"Sep 26, 2023",11,S,Yes,"Counted 1/4 of NE quadrant due to high volume regen , overstory"
2200,249863795056,Site,2200,,52.47357,124.40063,5.0,1299,David Landon,"Sep 19, 2023",4,NW,Yes,
1510,917375325411,Site,1510,,124.086635,52.235629,5.0,1120,Otis Guichon,"Sep 13, 2023",2,SW,Yes,"Dog hair regen in each quadrant, only counted NW quadrant .

No over story trees"
2269,273323562963,Site,2269,,124.238071,52.480237,5.0,1170,Otis Guichon,"Sep 25, 2023",4,SE,Yes,"Plot lands in green area , no burns , burn area 20m west of plot"
2412,359304166533,Site,2412,9,124.148834,52.496784,5.0,1150,Otis Guichon,"Oct 11, 2023",6,E,Yes,
1153 - Dave Landon,177623075386,Site,1153,,124.17.137,52.1.942,5.0,1020,Dave Landon,"Nov 1, 2023",1,SE,Yes,
2414,993604735839,Site,2414,9,124.119302,52.496325,5.0,1070,Otis Guichon,"Oct 11, 2023",3,E,Yes,
2271,484858106650,Site,2271,,52.47979,124.20860,5.0,1227,David Landon,"Sep 21, 2023",,,Yes,Unburnt
2210,762884038264,Site,2210,,52.47060,124.19417,5.0,1173,David Landon,"Sep 21, 2023",10,S,Yes,
1723,111593351590,Site,1723,,479473,5800523,10.0,,Darclyn Charleyboy,"Nov 1, 2023",12,S,No,
1508,236624527109,Site,1508,,474797,5784749,10.0,,Darclyn Charleyboy,,0,,Yes,All trees over 1.3 meters are less than4 cm DBH
1754,823088986978,Site,1754,,476629,5801247,10.0,,Darclyn Charleyboy,"Nov 9, 2023",7,E,Yes,
1526,572917077151,Site,1526,,474828,5785744,10.0,,Darclyn Charleyboy,"Sep 22, 2023",0,,Yes,Sample tree age was taking by counting whorls do to small DBH size
2115,414260796776,Site,2115,,124.062332,52.450535,5.0,280,Otis Guichon,"Sep 25, 2023",1,S,Yes,"Green patch , all around the plot is burned up"
1620,367597059878,Site,1620,,480227,5794510,10.0,,Darclyn Charleyboy,"Oct 17, 2023",13,NW,No,"Nothing over 4 cm DBH 
No sample tree"
1552,737555289643,Site,1552,,124.012080,52.261280,5.0,1090,Otis Guichon,"Sep 12, 2023",53,NE,Yes,
1981,588318755041,Site,1981,,52.43720,124.35767,5.0,1374,David Landon,"Sep 14, 2023",8,W,Yes,
1889,353098297119,Site,1889,,52.41771,124.25533,5.0,1112,David Landon,"Sep 15, 2023",5,NE,Yes,
2202,415220979786,Site,2202,,52.47318,124.37114,5.0,1290,David Landon,"Sep 19, 2023",17,NW,Yes,
1605,471810198937,Site,1605,,477178,5793638,10.0,,Darclyn Charleyboy,"Nov 3, 2023",5,NW,Yes,
2211,770322655166,Site,2211,,52.47034,124.17946,5.0,1244,David Landon,"Sep 21, 2023",15,NW,Yes,
1482,602132474123,Site,1482,,,,,,David Landon,"Sep 5, 2023",,,Yes,Plot falls into unburnt
1577,427600752432,Site,1577,,473355,5790705,10.0,,Darclyn Charleyboy,"Oct 3, 2023",3,NW,Yes,All trees DBH over 4 cm
1557,666091381660,Site,1557,,473035,5788973,10.0,,Darclyn Charleyboy,"Oct 4, 2023",10,S,Yes,
1635,796645592772,Site,1635,,486268,5795236,10.0,,Darclyn Charleyboy,"Oct 19, 2023",0,,Yes,
-1291634974,716255753981,Site,-1291634974,,469573,5779970,10.0,,Darclyn Charleyboy,"Sep 28, 2023",0,,No,
1567,510661240132,Site,1567,,471001,5789895,10.0,,Darclyn Charleyboy,"Sep 25, 2023",7,SE,Yes,Only greater than 4cm is the sample tree
1770,278483487283,Site,1770,,52.39080,124.25639,0.5,1173,David Landon,"Sep 13, 2023",3,W,Yes,
1498,102681644289,Site,1498,,124.043043,52.225928,5.0,1050,Skip Gregg,"Oct 10, 2023",35,NE,Yes,
1580,591930386617,Site,1580,,479792,5790908,10.0,,Shane Hink,"Oct 18, 2023",0,,Yes,
2213,510828612488,Site,2213,,52.46988,124.14983,5.0,1144,David Landon,"Sep 20, 2023",,,Yes,Unburnt. I’m Pl.
1569,605303143594,Site,1569,,473184,5789913,10.0,,Darclyn Charleyboy,"Oct 3, 2023",4,NE,No,
1476,851223980197,Site,1476,,124.087803,52.208743,5.0,1040,Skip Gregg,"Sep 13, 2023",13,N,Yes,
1544,350186660948,Site,1544,,52.25282,124.04180,0.5,1175,David Landon,"Sep 11, 2023",15,South,Yes,
2111,135564509002,Site,2111,,52.45174,124.13595,5.0,1148,David Landon,"Sep 20, 2023",7,E,Yes,
1478,637166049730,Site,1478,,473707,5782792,10.0,,Darclyn Charleyboy,,3,SW,Yes,
2334,517994033660,Site,2334,,52.48849,124.19343,5.0,1241,David Landon,"Sep 21, 2023",,,Yes,Unburnt
1789,932526424538,Site,1789,,476793,5802667,10.0,,Darclyn Charleyboy,"Nov 3, 2023",5,E,Yes,"Nothing over 4 cm DBH 
No sample tree"
1460,780598650125,Site,1460,,468542,5779019,10.0,,darclyn,,,,Yes,
2163,525375697207,Site,2163,,52.46000,124.09143,5.0,1080,David Landon,"Sep 20, 2023",2,S,Yes,
1484,559223518817,Site,1484,,52.21,124.01,5.0,950,Skip Gregg,"Sep 5, 2023",19,NW,Yes,No living trees to sample.
1640,387783743861,Site,1640,,468292,5797000,10.0,,Shane,"Oct 11, 2023",3,S,Yes,Heavy burnt
1666,190578999752,Site,1666,,482355,5797411,10.0,,Darclyn Charleyboy,"Nov 1, 2023",0,,Yes,
1637,116022790087,Site,1637,,465712,5797744,10.0,,Darclyn Charleyboy,"Oct 12, 2023",6,NE,Yes,"Nothing over 4 cm DBH 
No sample tree
Plot lands near road right of way"
1571,629135367444,Site,1571,,475001,5789731,10.0,,Darclyn Charleyboy,"Oct 3, 2023",5,S,Yes,
1634,772762807581,Site,1634,,485262,5795281,10.0,,,,21,W,Yes,"No sample tree 
Nothing over 4 cm DBH"
1485,556516158437,Site,1485,,52.21619,123.99945,5.0,1046,David Landon,"Sep 7, 2023",33,SE,Yes,
1662,871683383010,Site,1662,,475289,5797529,10.0,,Darclyn Charleyboy,"Nov 8, 2023",0,,Yes,"No sample tree
Nothing over 4 cm DBH"
1771,384303933640,Site,1771,,52.39058,124.24170,5.0,1225,David Landon,"Sep 13, 2023",7,SW,Yes,
1604,241902164652,Site,1604,,469167,5793971,10.0,,Darclyn Charleyboy,"Oct 5, 2023",0,,Yes,Heavy rock
1979,893789305912,Site,1979,,124.387234,52.437561,5.0,1240,Otis Guichon,"Sep 14, 2023",3,S,Yes,
1583,186391489221,Site,1583,,473115,5792004,10.0,,Darclyn Charleyboy,"Oct 4, 2023",13,NE,Yes,Nothing over 4 cm
1487,451034647166,Site,1487,,471743,5783877,10.0,,Darclyn Charleyboy,"Sep 21, 2023",0,,Yes,All trees < 4 cm DBH
1440,712883644294,Site,1440,,473449,5776814,1.0,,Darclyn Charleyboy,"Sep 20, 2023",7,S,Yes,50 meters south of grassland ridge
1500,640252778476,Site,1500,,52.22,124.01,5.0,1090,Dave Landon,"Sep 6, 2023",1,N,Yes,
1936,644121168641,Site,1936,,52.42777,124.32861,5.0,1296,David Landon,"Sep 18, 2023",,,Yes,Unburnt. Landed in an NCD.
1631,198387859509,Site,1631,,480184,5795481,10.0,,Darclyn Charleyboy,"Oct 23, 2023",21,W,Yes,
1724,467222724552,Site,1724,,480155,5800850,10.0,,Darclyn Charleyboy,"Nov 6, 2023",0,,Yes,"Unburnt area
Spruce drainage"
1542,264187670761,Site,1542,,52.25336,124.07111,0.5,1111,David Landon,"Sep 11, 2023",6,West,Yes,
2272,275496948005,Site,2272,,52.47954,124.19381,5.0,1266,David Landon,"Sep 21, 2023",6,SE,Yes,
708,538729282116,Site,708,10,483356,5750428,0.2,1130,Dan Marcotte,"Sep 18, 2023",8,W,Yes,No live sample tree in plot
707,213381864904,Site,707,10,482358,5750475,0.3,1140,Dan Marcotte,"Sep 18, 2023",2,NE,Yes,No sample tree
1110,341513327551,Site,1110,10,486782,5760270,0.4,797,Dan Marcotte,"Nov 9, 2023",10,E,Yes,
1069,214603719340,Site,1069,10,456723,5760539,0.1,1080,Dan Marcotte,"Sep 22, 2023",3,NW,Yes,
1045,520206148477,Site,1045,10,482710,5758459,0.4,1024,Sonya Lulua,"Sep 26, 2023",12,NE,Yes,
193,271616579504,Site,193,10,471848,5738925,,,Sonya Lulua,"Oct 6, 2023",,,Yes,planted
851,493798152253,Site,851,10,456476,5754561,0.2,1107,Dan Marcotte,"Oct 16, 2023",1,N,Yes,
13,208408421474,Site,13,10,485007,5718403,0.2,1463,Dan Marcotte,"Nov 7, 2023",5,N,Yes,
1333,255537820494,Site,1333,10,482034,5766460,0.3,733,Dan Marcotte,"Nov 9, 2023",60,N,Yes,Steep slope with erosion and high cattle traffic. Minimal live Fdi as seed source nearby
1214,845729360676,Site,1214,10,478908,5763603,0.3,1030,Dan Marcotte,"Nov 8, 2023",4,NW,Yes,Plot landed in area with multi layer Fdi stand with some Pli regen. High Fdi Regen from past two years.
1099,880040703513,Site,1099,10,455766,5761578,0.2,1070,Dan Marcotte,"Sep 22, 2023",1,NW,Yes,Surrounding area is Fdi leading with all age classes represented. Mature Fdi seed source all around
1068,307849971789,Site,1068,10,455723,5760582,0.3,1080,Dan Marcotte,"Sep 22, 2023",2,N,Yes,Fdi seed source 100m to north and west
158,218881496014,Site,158,10,455793,5738613,0.2,1205,Dan Marcotte,"Oct 10, 2023",6,W,Yes,
413,317037209786,Site,413,10,474057,5743825,0.4,1162,Sonya Lulua,"Oct 4, 2023",2,NE,Yes,no trees in plot
1075,622179765741,Site,1075,10,483738,5759396,0.5,832,Dan Marcotte,"Sep 5, 2023",5,N,Yes,Live mature Fdi adjacent
1111,386546762404,Site,1111,10,473236,5742071,4.0,1178,Bruce Johnson,"Sep 5, 2023",5,SW,No,Live mature fir/ borders grassland
801,478286238893,Site,801,10,455430,5753601,0.1,1106,Dan Marcotte,"Oct 16, 2023",5,W,Yes,Live mature Fdi surrounding plot. Most tree <10cm are germinants from 2021-2022.
903,245608700157,Site,903,10,482527,5754459,0.3,1080,,"Sep 8, 2023",10,N,Yes,
900,554058960179,Site,900,10,475527,5754757,0.5,1017,Sonya Lulua,"Oct 5, 2023",3,N,Yes,
1108,240250634874,Site,1108,10,483787,5860401,0.3,840,Dan Marcotte,"Sep 7, 2023",33,NE,Yes,Plot landed under live standing Fdi
319,991452918174,Site,319,10,478973,5741620,0.4,1173,Sonya Lulua,"Oct 4, 2023",0,,Yes,
933,943511901629,Site,933,10,455552,5756596,0.1,1074,Dan Marcotte,"Oct 18, 2023",15,SW,Yes,
899,284966366501,Site,899,10,456515,5755554,0.2,1096,Dan Marcotte,"Oct 18, 2023",3,N,Yes,An ocean of Pli regen. Scattered dead mature Fdi within 100m
229,820018277009,Site,229,10,479894,5739589,0.2,1150,Dan Marcotte,"Sep 19, 2023",10,NW,Yes,
852,333016998011,Site,852,10,457467,5754516,0.1,1107,Dan Marcotte,"Oct 16, 2023",2,W,Yes,DMP infested mature Pli near plot. Scattered Fdi nearby
981,577737517739,Site,981,10,480608,5756546,,,Sonya Lulua,"Sep 26, 2023",,NE,Yes,
159,895242939838,Site,159,10,456801,5738565,0.2,1297,Dan Marcotte,"Oct 12, 2023",24,S,Yes,Live mature surrounding plot. Fdi beetle present
939,477609410221,Site,939,10,478567,5755623,,,Sonya Lulua,"Sep 26, 2023",,,Yes,
1109,530018637567,Site,1109,10,484781,5760359,0.2,850,Dan Marcotte,"Sep 7, 2023",25,S,Yes,Plot located in dead standing mature Fdi. Fdi seed source about 200m away.
1207,438233556733,Site,1207,10,461897,5764318,0.1,1040,Dan Marcotte,"Sep 22, 2023",2,N,Yes,Mature Fdi for seed source 70m north
227,578909835407,Site,227,10,468891,5740053,0.3,1190,Dan Marcotte,"Sep 19, 2023",1,SW,Yes,
318,979022688361,Site,318,10,474975,5741799,,,Sonya Lulua,"Oct 6, 2023",,,Yes,planted
653,906031392278,Site,653,10,473312,5749837,0.5,1146,Sonya Lulua,"Oct 5, 2023",5,N,Yes,
865,523163925404,Site,865,10,486487,5753291,0.2,860,Dan Marcotte,"Sep 6, 2023",-35,E,Yes,"This area was salvage logged after wildfire disturbance but doesn’t appear to be planted.

Shrubs spp added during field audit 20/09/2023 (SS)."
758,646640973174,Site,758,10,475398,5751767,0.2,1098,Dan Marcotte,"Oct 11, 2023",1,S,Yes,
1364,914035985715,Site,1364,10,479080,5767591,0.3,770,,"Sep 7, 2023",8,N,Yes,
859,935122085040,Site,859,10,477481,5753671,0.3,1050,Dan Marcotte,"Sep 20, 2023",7,N,Yes,
761,231499457818,Site,761,10,482400,5751466,0.2,1130,Dan Marcotte,"Sep 18, 2023",3,NW,Yes,Plot landed adjacent two vet Fdi that survived the wildfire but succumbed to fir beetle/stress
1362,446632360453,Site,1362,10,468044,5768025,,,Bruce Johnson,"Sep 25, 2023",,,No,
1219,769132895271,Site,1219,10,483907,5763389,0.2,805,Dan Marcotte,"Nov 9, 2023",14,NE,Yes,Plot landed in standing Fdi stand where a lower intensity burn occurred and most trees survived
