"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","Year"
"17","1461","2010",52.15954,-123.4016,974,4.6,15.9,-7.9,23.8,386,193,37.8,82.4,802,1374,4909,43,155,148,258,110,92,-42.2,36.8,625,379,-9999,54,-20.09,589,-0.7,11.6,22.7,11.4,-11.2,-2.3,6.9,-2.2,-6,4.6,14.8,4.6,60,109,105,82,-9999,15,20,7.1,585,85,0,132,3,202,904,265,2137,1228,321,1223,0,5,32,6,2,31,90,33,51,22,1,18,0,160,361,103,0,72,256,51,58,54,53,55,8.41,-1.09,-22.02,-5.4,3
"18","1461","2010",52.15921,-123.4012,974,4.6,15.9,-7.9,23.8,386,193,37.8,82.4,802,1374,4909,43,155,148,258,110,92,-42.2,36.8,625,379,-9999,54,-20.09,589,-0.7,11.6,22.7,11.4,-11.2,-2.3,6.9,-2.2,-6,4.6,14.8,4.6,60,109,105,82,-9999,15,20,7,585,85,0,132,3,202,904,265,2137,1227,321,1223,0,5,32,6,2,31,90,33,51,22,1,18,0,160,361,103,0,72,256,51,58,54,53,55,8.41,-1.09,-22.02,-5.4,3
"19","1467","2010",52.16937,-123.4449,996,4.4,15.6,-8,23.7,385,194,37.4,80.8,817,1341,4967,39,152,150,257,107,94,-42.6,36.7,624,379,-9999,53,-19.95,564,-0.7,11.4,22.6,11.4,-11.5,-2.6,6.5,-2.4,-6.1,4.4,14.6,4.5,60,107,106,82,-9999,15.2,20.3,8,593,89,0,135,3,193,883,261,2147,1252,337,1231,0,5,28,6,2,30,89,32,51,23,1,19,0,159,361,104,0,73,256,51,57,53,52,54,8.52,-1.06,-21.99,-5.42,3
"20","1467","2010",52.16906,-123.4445,996,4.4,15.6,-8,23.7,385,194,37.4,80.8,817,1341,4967,39,152,150,257,107,94,-42.6,36.7,624,380,-9999,53,-19.96,565,-0.7,11.4,22.6,11.4,-11.5,-2.6,6.5,-2.4,-6.1,4.4,14.6,4.5,60,107,106,82,-9999,15.2,20.3,8,593,89,0,135,3,193,884,261,2147,1252,336,1231,0,5,28,6,2,30,89,32,51,23,1,19,0,159,361,104,0,73,256,51,57,53,52,54,8.52,-1.07,-22,-5.42,3
"21","1467","2010",52.16937,-123.4449,992,4.4,15.7,-8,23.7,385,194,37.5,80.9,815,1345,4961,39,153,150,257,107,93,-42.5,36.8,624,380,-9999,53,-20.06,567,-0.7,11.4,22.6,11.4,-11.4,-2.6,6.6,-2.4,-6.1,4.4,14.6,4.5,60,107,106,82,-9999,15.2,20.3,8,592,89,0,134,3,194,885,262,2146,1250,335,1230,0,5,29,6,2,30,89,32,51,23,1,19,0,159,361,104,0,74,256,51,57,53,52,54,8.52,-1.11,-22.03,-5.44,3
"22","1467","2010",52.16906,-123.4445,992,4.4,15.7,-8,23.7,385,194,37.5,80.9,815,1345,4960,40,153,150,257,107,93,-42.5,36.8,625,380,-9999,53,-20.07,567,-0.7,11.4,22.6,11.4,-11.4,-2.6,6.6,-2.4,-6.1,4.4,14.6,4.5,60,107,106,82,-9999,15.2,20.3,8,592,89,0,134,3,194,886,262,2146,1250,335,1230,0,5,29,6,2,30,89,32,51,23,1,19,0,159,361,104,0,74,256,51,57,53,52,54,8.52,-1.11,-22.04,-5.44,3
"23","1478","2010",52.19496,-123.3847,1061,4.1,15.3,-8.2,23.5,404,201,34.9,76.3,846,1279,5065,34,150,152,256,104,104,-43,36.2,606,351,-9999,54,-15.25,525,-0.8,10.9,22,11,-11.8,-2.8,6.5,-2.6,-6.3,4,14.3,4.2,64,113,108,88,-9999,15,20.3,7.7,604,98,0,143,3,177,852,248,2162,1288,358,1257,0,4,24,5,2,28,89,31,55,27,1,22,0,154,351,101,0,63,243,45,56,54,54,55,9.11,0.39,-20.49,-4.26,3
"24","1482","2010",52.20458,-123.4134,1057,4.1,15.4,-8.2,23.6,401,199,35.2,77.2,845,1276,5067,34,149,152,256,103,104,-43.1,36.2,608,354,-9999,54,-15.76,523,-0.7,10.9,22,11.1,-11.8,-2.9,6.5,-2.7,-6.3,4,14.3,4.2,64,111,108,86,-9999,15,20.2,7.7,605,97,0,143,3,176,851,247,2163,1289,358,1258,0,4,24,5,2,28,89,31,55,27,1,21,0,155,352,101,0,65,244,45,56,54,53,54,9.13,0.2,-20.61,-4.47,3
"25","1487","2010",52.20461,-123.4135,1057,4.1,15.4,-8.2,23.6,401,199,35.2,77.2,845,1276,5067,34,149,152,256,103,104,-43.1,36.2,608,354,-9999,54,-15.76,523,-0.7,10.9,22,11.1,-11.8,-2.9,6.5,-2.7,-6.3,4,14.3,4.2,64,111,108,86,-9999,15,20.2,7.7,605,97,0,143,3,176,851,247,2163,1289,358,1258,0,4,24,5,2,28,89,31,55,27,1,21,0,155,352,101,0,65,244,45,56,54,53,54,9.13,0.2,-20.61,-4.48,3
"26","1507","2010",52.21423,-123.4422,1041,4.2,15.3,-8.2,23.6,397,196,35.7,78.2,846,1288,5055,34,150,151,256,105,102,-43.2,36.4,612,362,-9999,53,-16.95,530,-0.8,11,22.2,11.1,-11.9,-2.8,6.4,-2.6,-6.3,4.1,14.3,4.3,62,110,107,84,-9999,15,20,7.3,607,96,0,142,3,180,854,251,2165,1282,356,1252,0,4,25,6,2,28,89,31,54,26,1,21,0,155,355,102,0,66,248,48,56,53,53,54,8.99,-0.04,-21.08,-4.82,3
"27","1508","2010",52.2126,-123.3689,1088,4,15.2,-8.3,23.5,410,203,34.1,75.1,860,1253,5117,32,149,153,256,103,109,-43.4,36,599,341,-9999,54,-13.57,507,-0.8,10.6,21.8,10.8,-12,-3,6.5,-2.7,-6.4,3.8,14.1,4.1,66,113,109,89,-9999,15,20.3,7.9,612,102,0,146,3,169,839,242,2172,1304,374,1267,0,4,23,5,2,28,89,31,57,29,1,23,0,152,347,100,0,61,238,43,55,54,54,55,9.4,0.79,-19.85,-3.91,3
"28","1526","2010",52.22155,-123.3685,1096,3.9,15.1,-8.4,23.5,414,204,33.6,74.2,868,1243,5138,31,149,153,256,103,111,-43.5,35.9,597,336,-9999,54,-12.75,500,-0.8,10.5,21.7,10.8,-12.1,-3,6.4,-2.7,-6.4,3.8,14,4.1,66,116,110,89,-9999,15,20.3,7.8,617,104,0,146,2,167,834,240,2178,1311,380,1269,0,4,22,5,1,27,89,31,57,31,1,23,0,151,346,100,0,58,236,42,55,54,54,55,9.44,1.24,-19.61,-3.81,3
"29","1535","2010",52.23284,-123.4705,1061,4,15.2,-8.4,23.6,401,198,34.9,76.4,864,1262,5105,32,148,152,256,104,105,-43.5,36.3,610,357,-9999,53,-16.02,512,-0.8,10.8,22.1,11.1,-12.1,-3,6.1,-2.7,-6.4,3.9,14.1,4.2,63,111,109,85,-9999,15,20,7.5,617,102,0,145,3,173,839,247,2177,1299,368,1261,0,4,23,6,1,28,88,30,55,28,1,22,0,154,354,102,0,64,245,48,55,53,53,54,9.19,0.35,-20.83,-4.72,3
"30","1538","2010",52.2318,-123.4265,1070,4,15.1,-8.3,23.5,407,200,34.4,75.7,864,1255,5120,31,149,152,256,105,108,-43.5,36.1,603,348,-9999,53,-14.45,507,-0.8,10.7,21.9,10.9,-12,-3,6.3,-2.7,-6.4,3.9,14.1,4.1,65,112,109,87,-9999,15,20.3,8,615,102,0,148,3,171,837,244,2175,1301,377,1267,0,4,22,5,1,28,89,31,56,29,1,22,0,153,350,101,0,62,241,44,55,54,53,54,9.34,0.62,-20.25,-4.17,3
"31","1539","2010",52.2308,-123.3826,1096,3.9,15.1,-8.4,23.5,414,204,33.6,74.1,872,1239,5148,30,148,153,256,104,112,-43.6,35.9,596,336,-9999,54,-12.67,497,-0.8,10.5,21.6,10.8,-12.1,-3,6.4,-2.7,-6.5,3.8,14,4,66,114,110,89,-9999,15,20.3,7.7,619,104,0,148,2,166,830,241,2180,1313,383,1271,0,4,22,5,1,27,89,31,58,30,1,23,0,151,346,100,0,59,235,42,55,54,54,55,9.55,1.11,-19.51,-3.82,3
"32","1540","2010",52.23014,-123.3532,1109,3.8,15.1,-8.4,23.5,421,207,32.9,72.9,880,1232,5166,30,148,153,256,103,115,-43.6,35.8,593,327,-9999,54,-11.45,493,-0.9,10.4,21.5,10.7,-12.2,-3.1,6.4,-2.7,-6.5,3.7,14,4,68,118,112,90,-9999,15,20.3,7.7,624,107,0,150,2,164,828,238,2186,1320,385,1276,0,4,22,5,1,27,89,31,59,32,1,23,0,150,343,99,0,54,232,41,55,54,55,55,9.67,1.65,-19.16,-3.61,3
"33","1554","2010",52.25035,-123.4546,1092,3.9,15,-8.5,23.5,409,201,33.8,74.7,882,1237,5164,30,147,153,256,103,111,-43.8,36.1,602,345,-9999,53,-13.89,495,-0.9,10.6,21.8,10.8,-12.3,-3.1,6.1,-2.8,-6.6,3.7,14,4,65,113,111,86,-9999,15,20.3,7.8,624,107,0,151,2,167,827,241,2186,1316,385,1276,0,4,21,5,1,27,88,30,56,31,1,23,0,152,349,100,0,62,238,45,54,54,53,54,9.5,0.86,-20.02,-4.23,3
"34","1557","2010",52.2505,-123.395,1110,3.8,15,-8.5,23.6,416,205,33.1,73.5,892,1222,5193,29,147,153,256,103,115,-43.7,35.8,592,332,-9999,54,-11.79,486,-1,10.4,21.5,10.6,-12.3,-3.1,6.3,-2.8,-6.6,3.6,13.9,3.9,67,114,111,89,-9999,15,20.3,7.7,630,109,0,153,2,161,822,237,2194,1326,390,1282,0,3,21,5,1,27,89,30,59,32,1,24,0,150,344,99,0,58,232,42,55,54,54,55,9.75,1.37,-19.21,-3.72,3
"35","1558","2010",52.25071,-123.3803,1116,3.7,15,-8.5,23.5,418,205,32.9,73,896,1213,5203,29,147,153,256,103,116,-43.7,35.7,591,330,-9999,54,-11.4,482,-1,10.3,21.5,10.6,-12.3,-3.2,6.3,-2.8,-6.6,3.6,13.9,3.9,68,114,112,89,-9999,15,20.3,7.7,631,110,0,155,2,160,814,236,2195,1329,394,1285,0,3,20,5,1,27,89,30,59,32,1,24,0,149,343,99,0,57,231,41,55,54,54,55,9.8,1.44,-19.07,-3.58,3
"36","1559","2010",52.24837,-123.3668,1114,3.8,15,-8.5,23.5,424,208,32.5,72.1,893,1214,5198,29,147,153,256,103,118,-43.6,35.7,590,324,-9999,54,-10.7,483,-1,10.3,21.4,10.6,-12.2,-3.1,6.3,-2.8,-6.6,3.6,13.9,3.9,69,118,112,90,-9999,15,20.3,7.7,629,110,0,154,2,160,815,236,2193,1329,393,1283,0,3,20,5,1,27,89,30,60,33,1,24,0,149,342,99,0,53,230,41,55,54,55,55,9.89,1.84,-18.9,-3.54,3
"37","1560","2010",52.24842,-123.353,1118,3.8,15,-8.5,23.5,424,208,32.4,72.3,892,1219,5197,29,147,153,255,102,118,-43.6,35.7,589,323,-9999,54,-10.47,485,-1,10.2,21.4,10.6,-12.2,-3.2,6.4,-2.8,-6.6,3.5,13.9,3.9,69,118,112,90,-9999,15,20.3,7.7,627,111,0,154,2,159,823,235,2191,1332,390,1286,0,3,21,5,1,27,89,30,60,33,1,24,0,149,341,99,0,53,229,41,55,54,55,55,9.91,1.9,-18.79,-3.49,3
"38","1567","2010",52.25868,-123.4249,1103,3.8,15,-8.5,23.6,417,205,33,73.3,893,1225,5192,29,147,153,255,102,115,-43.9,35.9,595,334,-9999,54,-12.11,489,-0.9,10.4,21.6,10.6,-12.3,-3.2,6.3,-2.9,-6.6,3.6,13.9,3.9,67,114,112,88,-9999,15,20.3,7.7,628,109,0,156,2,162,824,236,2192,1325,388,1287,0,4,21,5,1,27,89,30,59,31,1,24,0,150,345,100,0,58,233,43,55,54,54,54,9.77,1.27,-19.33,-3.82,3
"39","1569","2010",52.25895,-123.3929,1126,3.7,14.9,-8.6,23.5,421,206,32.6,72.4,900,1203,5219,28,146,153,255,102,118,-43.9,35.7,589,326,-9999,54,-10.9,476,-1,10.2,21.4,10.5,-12.3,-3.2,6.2,-2.9,-6.7,3.5,13.8,3.8,68,114,113,90,-9999,15,20.3,7.7,632,112,0,156,2,158,810,233,2197,1336,398,1289,0,3,20,5,1,27,89,30,60,33,1,24,0,149,342,99,0,57,229,41,55,54,54,55,9.92,1.55,-18.86,-3.52,3
"40","1571","2010",52.2574,-123.3663,1133,3.7,14.9,-8.5,23.4,425,208,32.1,71.4,899,1196,5226,27,146,154,256,102,120,-43.7,35.6,586,319,-9999,54,-9.93,471,-1,10.2,21.3,10.4,-12.3,-3.2,6.3,-2.9,-6.6,3.5,13.8,3.8,69,118,113,90,-9999,15,20.3,7.7,629,113,0,157,2,156,806,232,2193,1340,401,1293,0,3,19,5,1,26,89,30,60,34,1,25,0,148,340,98,0,52,228,40,55,54,55,55,9.96,2.06,-18.64,-3.31,3
"41","1573","2010",52.25623,-123.2764,1177,3.5,14.7,-8.6,23.3,436,213,30.9,69.1,916,1163,5290,25,145,154,254,100,129,-43.8,35.3,576,304,-9999,55,-7.35,448,-1.1,9.8,20.9,10.1,-12.3,-3.3,6.3,-3.1,-6.7,3.2,13.6,3.5,73,121,114,94,-9999,15,20.3,7.9,633,119,0,165,2,148,792,222,2197,1360,415,1318,0,3,18,4,1,26,89,29,64,37,1,27,0,145,334,97,0,47,221,36,55,55,56,55,10.29,2.78,-17.82,-2.59,3
"42","1577","2010",52.26608,-123.3904,1129,3.7,14.9,-8.6,23.4,421,206,32.4,72.2,904,1198,5231,28,146,153,256,103,119,-43.9,35.7,588,325,-9999,54,-10.62,472,-1,10.2,21.3,10.5,-12.4,-3.3,6.2,-2.9,-6.7,3.5,13.8,3.8,69,114,113,90,-9999,15,20.3,7.7,633,113,0,158,2,156,807,232,2198,1340,401,1293,0,3,19,5,1,26,89,30,60,33,1,25,0,148,342,98,0,56,229,40,55,54,54,55,9.99,1.6,-18.78,-3.43,3
"43","1578","2010",52.26704,-123.379,1138,3.6,14.8,-8.5,23.4,423,207,32.2,71.4,906,1192,5240,27,146,153,256,102,120,-43.8,35.6,586,321,-9999,54,-10.14,467,-1,10.1,21.3,10.4,-12.4,-3.3,6.2,-2.9,-6.7,3.4,13.7,3.7,69,115,114,90,-9999,15,20.3,7.7,632,114,0,159,2,155,803,231,2197,1343,404,1297,0,3,19,5,1,26,88,30,60,34,1,25,0,148,341,98,0,55,226,40,55,54,55,55,9.98,1.75,-18.56,-3.31,3
"44","1579","2010",52.26632,-123.3656,1142,3.6,14.8,-8.5,23.3,427,209,31.9,70.8,904,1191,5239,27,146,153,256,103,121,-43.8,35.5,584,316,-9999,54,-9.51,467,-1,10.1,21.2,10.4,-12.3,-3.3,6.3,-2.9,-6.6,3.4,13.7,3.7,69,118,114,91,-9999,15,20.3,7.7,630,115,0,159,2,155,804,230,2194,1345,403,1297,0,3,19,5,1,26,89,30,60,35,1,25,0,147,339,98,0,51,225,39,55,54,55,55,9.96,2.14,-18.39,-3.22,3
"45","1580","2010",52.26818,-123.2961,1174,3.5,14.7,-8.6,23.3,437,213,30.9,69.2,919,1165,5292,25,145,154,254,100,129,-43.8,35.3,577,305,-9999,54,-7.39,450,-1.1,9.8,21,10.1,-12.3,-3.4,6.3,-3.1,-6.7,3.2,13.6,3.5,73,120,115,94,-9999,15.3,20.3,8,634,119,0,165,2,148,793,222,2199,1361,413,1318,0,3,18,4,1,26,89,29,64,38,1,27,0,145,335,97,0,49,220,36,55,55,55,55,10.36,2.69,-17.78,-2.66,3
"46","1581","2010",52.27663,-123.4238,1113,3.7,14.9,-8.6,23.5,421,206,32.5,72.4,904,1206,5221,28,146,153,255,102,119,-44,35.8,591,329,-9999,54,-11.04,478,-1,10.3,21.5,10.5,-12.4,-3.2,6.2,-2.9,-6.7,3.5,13.8,3.8,68,114,114,89,-9999,15,20.3,7.7,633,112,0,158,2,159,812,233,2198,1335,396,1292,0,3,20,5,1,26,89,30,60,33,1,25,0,149,343,99,0,57,229,42,54,54,54,55,9.99,1.48,-18.87,-3.63,3
"47","1583","2010",52.27775,-123.3941,1145,3.6,14.8,-8.6,23.3,426,207,31.9,71.1,911,1182,5262,26,145,154,255,101,123,-44,35.5,584,320,-9999,54,-9.59,460,-1,10,21.2,10.4,-12.4,-3.3,6.2,-3,-6.7,3.3,13.7,3.7,69,116,114,91,-9999,15,20.3,7.7,634,117,0,161,2,152,799,228,2199,1350,407,1305,0,3,18,5,1,26,88,29,61,35,1,26,0,147,339,98,0,55,225,40,54,54,55,55,10.07,1.95,-18.38,-3.23,3
"48","1584","2010",52.27534,-123.3652,1147,3.6,14.8,-8.5,23.3,431,210,31.6,70.3,907,1185,5249,26,146,153,256,103,125,-43.8,35.5,583,314,-9999,54,-8.87,462,-1,10,21.2,10.3,-12.3,-3.3,6.2,-2.9,-6.6,3.4,13.7,3.7,71,119,115,91,-9999,15,20.3,7.7,629,117,0,161,2,154,800,229,2193,1349,407,1300,0,3,18,5,1,26,89,30,62,36,1,26,0,147,339,98,0,51,224,39,55,54,55,55,10.2,2.34,-18.24,-3.16,3
